player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Etrit Berisha,al ALB,GK,Empoli,34-271,1989,12.0,12.0,1080.0,23.0,1.92,66.0,43.0,68.2,3.0,2.0,7.0,4.0,33.3,3.0,2.0,1.0,0.0,12.0,0.0,5.0,1.0,17.8,0.23,-4.2,-0.35,41.0,166.0,24.7,336.0,65.0,36.0,33.6,85.0,52.9,41.8,206.0,9.0,4.4,8.0,0.67,11.8
Elia Caprile,it ITA,GK,Empoli,22-103,2001,1.0,1.0,90.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,0.11,-0.6,-0.57,4.0,20.0,20.0,37.0,9.0,48.6,42.6,4.0,50.0,50.3,10.0,2.0,20.0,2.0,2.0,12.4
Marco Carnesecchi,it ITA,GK,Atalanta,23-158,2000,5.0,5.0,450.0,6.0,1.2,21.0,15.0,71.4,2.0,1.0,2.0,2.0,40.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.7,0.27,-0.3,-0.05,15.0,62.0,24.2,110.0,29.0,32.7,35.7,34.0,76.5,56.6,64.0,4.0,6.3,3.0,0.6,12.0
Michele Cerofolini,it ITA,GK,Frosinone,24-336,1999,1.0,1.0,90.0,1.0,1.0,6.0,5.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16,0.0,-0.04,2.0,18.0,11.1,27.0,2.0,55.6,38.3,5.0,60.0,45.8,18.0,0.0,0.0,0.0,0.0,0.0
Oliver Christensen,dk DEN,GK,Fiorentina,24-259,1999,2.0,2.0,180.0,6.0,3.0,13.0,7.0,61.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.2,0.18,-2.8,-1.38,14.0,31.0,45.2,78.0,7.0,33.3,33.2,8.0,62.5,49.4,15.0,0.0,0.0,3.0,1.5,22.0
Andrea Consigli,it ITA,GK,Sassuolo,36-313,1987,12.0,12.0,1080.0,20.0,1.67,58.0,39.0,70.7,3.0,3.0,6.0,0.0,0.0,4.0,3.0,0.0,1.0,12.0,0.0,2.0,1.0,15.9,0.22,-3.1,-0.26,52.0,157.0,33.1,357.0,57.0,37.3,35.8,90.0,26.7,29.1,182.0,8.0,4.4,10.0,0.83,13.2
Benoît Costil,fr FRA,GK,Salernitana,36-156,1987,3.0,3.0,270.0,6.0,2.0,17.0,11.0,76.5,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.4,0.21,-0.6,-0.19,18.0,51.0,35.3,86.0,19.0,40.7,35.4,21.0,76.2,54.7,41.0,0.0,0.0,2.0,0.67,10.8
Alessio Cragno,it ITA,GK,Sassuolo,29-161,1994,2.0,2.0,180.0,6.0,3.0,8.0,3.0,37.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.4,0.3,-1.6,-0.81,10.0,32.0,31.3,47.0,3.0,57.4,41.2,19.0,26.3,29.4,26.0,0.0,0.0,7.0,3.5,28.9
Michele Di Gregorio,it ITA,GK,Monza,26-132,1997,13.0,13.0,1170.0,13.0,1.0,64.0,50.0,81.3,4.0,5.0,4.0,4.0,30.8,2.0,1.0,1.0,0.0,13.0,0.0,3.0,0.0,17.2,0.24,4.2,0.32,55.0,140.0,39.3,415.0,76.0,23.9,29.3,90.0,45.6,42.2,194.0,9.0,4.6,6.0,0.46,10.2
Wladimiro Falcone,it ITA,GK,Lecce,28-238,1995,14.0,14.0,1260.0,19.0,1.36,63.0,43.0,74.6,3.0,7.0,4.0,2.0,14.3,4.0,3.0,1.0,0.0,14.0,1.0,1.0,0.0,21.5,0.28,2.5,0.18,48.0,134.0,35.8,279.0,67.0,33.3,30.5,107.0,38.3,32.0,177.0,5.0,2.8,7.0,0.5,10.4
Luca Gemello,it ITA,GK,Torino,23-156,2000,1.0,1.0,90.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.16,-1.7,-1.68,4.0,12.0,33.3,42.0,3.0,28.6,32.6,0.0,0.0,0.0,16.0,2.0,12.5,2.0,2.0,15.8
Pierluigi Gollini,it ITA,GK,Napoli,28-263,1995,2.0,2.0,180.0,2.0,1.0,8.0,6.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,7.0,22.0,31.8,74.0,11.0,24.3,29.8,10.0,40.0,34.6,25.0,1.0,4.0,3.0,1.5,18.1
Nicola Leali,it ITA,GK,Genoa,30-292,1993,2.0,1.0,91.0,2.0,1.98,8.0,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.7,0.34,0.7,0.73,11.0,30.0,36.7,42.0,3.0,69.0,42.5,3.0,33.3,27.0,11.0,1.0,9.1,1.0,0.99,17.8
