player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Francesco Acerbi,it ITA,DF,Inter,35-299,1988,11.0,11.0,990.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.18,0.09,0.18,0.7,0.7,0.06,0.06,11.0,2.0,0.0,25.0,0.18,0.13,0.5,0.09,0.3,0.3,642.0,722.0,88.9,11263.0,3194.0,271.0,294.0,92.2,304.0,332.0,91.6,50.0,73.0,68.5,4.0,31.0,1.0,0.0,31.0,693.0,28.0,17.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,11.0,1.0,9.0,0.0,2.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,13.0,7.0,10.0,3.0,0.0,7.0,5.0,2.0,18.0,21.0,0.0,797.0,85.0,389.0,357.0,53.0,15.0,797.0,463.0,8.0,6.0,0.0,583.0,0.0,1.0,0.0,10.0,10.0,1.0,0.0,0.0,0.0,47.0,31.0,17.0,64.6
Yacine Adli,fr FRA,MF,Milan,23-130,2000,6.0,4.0,322.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,224.0,266.0,84.2,4474.0,1399.0,82.0,93.0,88.2,103.0,113.0,91.2,35.0,50.0,70.0,3.0,37.0,4.0,1.0,33.0,255.0,11.0,2.0,1.0,4.0,12.0,9.0,2.0,4.0,0.0,0.0,0.0,5.0,11.0,3.07,7.0,4.0,0.0,0.0,1.0,0.28,0.0,1.0,0.0,0.0,0.0,14.0,7.0,6.0,7.0,1.0,4.0,4.0,0.0,6.0,4.0,0.0,306.0,9.0,54.0,188.0,65.0,1.0,306.0,190.0,6.0,8.0,0.0,216.0,5.0,2.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,21.0,6.0,5.0,54.5
Michel Aebischer,ch SUI,MF,Bologna,26-334,1997,14.0,13.0,1071.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,0.01,0.01,11.9,1.0,0.0,50.0,0.08,0.0,0.0,0.05,-0.1,-0.1,683.0,739.0,92.4,11155.0,3419.0,347.0,370.0,93.8,281.0,291.0,96.6,43.0,53.0,81.1,6.0,58.0,5.0,1.0,63.0,710.0,28.0,23.0,1.0,4.0,5.0,3.0,1.0,0.0,0.0,2.0,1.0,8.0,15.0,1.26,14.0,0.0,0.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,17.0,13.0,4.0,12.0,1.0,16.0,3.0,13.0,9.0,11.0,0.0,819.0,28.0,225.0,510.0,91.0,5.0,819.0,501.0,14.0,9.0,1.0,631.0,13.0,6.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,64.0,7.0,9.0,43.8
Lucien Agoume,fr FRA,MF,Inter,21-300,2002,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,75.0,7.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Marley Aké,fr FRA,FW,Udinese,22-335,2001,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31-056,1992,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.3,120.0,17.0,8.0,9.0,88.9,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,4.0,9.0,3.0,0.0,15.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Luis Alberto,es ESP,MF,Lazio,31-069,1992,13.0,13.0,1064.0,3.0,1.0,0.0,0.0,5.0,0.0,0.25,0.08,0.34,0.25,0.34,2.4,2.4,0.2,0.2,11.8,8.0,2.0,33.3,0.68,0.13,0.38,0.1,0.6,0.6,626.0,796.0,78.6,10029.0,3285.0,337.0,376.0,89.6,219.0,256.0,85.5,55.0,118.0,46.6,26.0,97.0,22.0,1.0,117.0,708.0,82.0,32.0,3.0,6.0,61.0,44.0,18.0,24.0,0.0,3.0,6.0,17.0,48.0,4.06,35.0,11.0,2.0,0.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,20.0,11.0,11.0,5.0,4.0,24.0,2.0,22.0,3.0,4.0,0.0,910.0,10.0,121.0,482.0,320.0,27.0,910.0,512.0,49.0,32.0,4.0,670.0,14.0,11.0,0.0,9.0,13.0,2.0,0.0,0.0,0.0,79.0,5.0,8.0,38.5
Pontus Almqvist,se SWE,FW,Lecce,24-149,1999,12.0,11.0,931.0,2.0,0.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,0.9,0.9,0.08,0.08,10.3,7.0,0.0,43.8,0.68,0.13,0.29,0.05,1.1,1.1,187.0,245.0,76.3,2496.0,546.0,119.0,148.0,80.4,46.0,63.0,73.0,10.0,10.0,100.0,8.0,8.0,4.0,1.0,18.0,242.0,3.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,31.0,3.0,19.0,1.0,3.0,3.0,5.0,0.48,3.0,0.0,0.0,1.0,1.0,18.0,12.0,6.0,10.0,2.0,12.0,0.0,12.0,6.0,5.0,0.0,383.0,4.0,44.0,167.0,179.0,37.0,383.0,260.0,43.0,23.0,17.0,287.0,23.0,22.0,0.0,7.0,19.0,1.0,1.0,0.0,0.0,30.0,4.0,9.0,30.8
Lorenzo Amatucci,it ITA,MF,Fiorentina,19-304,2004,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,304.0,47.0,4.0,4.0,100.0,10.0,10.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,12.0,4.0,0.0,17.0,12.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Bruno Amione,ar ARG,DF,Hellas Verona,21-337,2002,7.0,6.0,443.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.03,4.9,2.0,0.0,50.0,0.41,0.0,0.0,0.03,-0.1,-0.1,191.0,238.0,80.3,3281.0,1315.0,81.0,93.0,87.1,94.0,111.0,84.7,13.0,27.0,48.1,1.0,10.0,0.0,0.0,16.0,233.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.61,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,1.0,0.0,2.0,2.0,0.0,7.0,11.0,1.0,284.0,13.0,136.0,139.0,13.0,6.0,284.0,171.0,2.0,3.0,0.0,169.0,6.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,33.0,17.0,10.0,63.0
